index,before,after
0,0.8714285714285714,0.9411764705882353
1,0.8,0.8823529411764706
2,0.7714285714285715,0.8823529411764706
3,0.8714285714285714,0.9411764705882353
4,0.8357142857142857,0.8235294117647058
5,0.7714285714285715,0.8235294117647058
6,0.0,0.8235294117647058
7,0.7777777777777778,0.9
8,0.8214285714285714,0.9411764705882353
9,0.7571428571428571,0.9411764705882353
10,0.8571428571428571,0.9411764705882353
11,0.8571428571428571,0.8823529411764706
12,0.8571428571428571,1.0
13,0.8071428571428572,0.9411764705882353
14,0.8,0.8823529411764706
15,0.7785714285714286,1.0
16,0.7571428571428571,0.9411764705882353
17,0.0,0.8823529411764706
18,0.8428571428571429,1.0
19,0.6111111111111112,0.5
20,0.0,0.8235294117647058
